hotel,is_canceled,arrival_date_year,arrival_date_month,adults,children,babies,country,reserved_room_type,assigned_room_type,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,room-status,room-type
Resort Hotel,1,2017,January,2,0,0,GBR,E,E,Transient,55.8,0,0,Canceled,05-10-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,PRT,A,A,Transient,47.8,0,2,Canceled,05-12-2016,Desired,Couple
Resort Hotel,1,2017,January,2,2,0,ESP,G,G,Transient,88,0,0,Canceled,07-12-2016,Desired,Family
Resort Hotel,1,2017,January,2,0,0,PRT,A,A,Transient,72,0,2,Canceled,20-11-2016,Desired,Couple
Resort Hotel,1,2017,January,2,1,1,FRA,G,G,Transient,88,0,1,Canceled,19-12-2016,Desired,Family
Resort Hotel,1,2017,January,2,0,0,PRT,G,G,Transient,78.3,0,1,Canceled,26-10-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,GBR,A,A,Transient,42,0,2,Canceled,22-12-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,ESP,D,D,Transient,88,0,0,Canceled,11-12-2016,Desired,Couple
Resort Hotel,1,2017,January,2,1,0,BRA,G,G,Transient,79.8,0,0,Canceled,23-12-2016,Desired,Family
Resort Hotel,1,2017,January,3,0,0,AUS,E,E,Transient,62,0,2,Canceled,21-12-2016,Desired,Family
Resort Hotel,1,2017,January,2,1,0,AUS,H,H,Transient,87,0,2,Canceled,21-12-2016,Desired,Family
Resort Hotel,1,2017,January,2,2,0,ITA,G,G,Transient,87,0,0,Canceled,05-11-2016,Desired,Family
Resort Hotel,1,2017,January,2,0,0,LUX,A,A,Transient,42,0,0,Canceled,20-11-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,CHE,A,A,Transient,37.8,0,1,Canceled,21-11-2016,Desired,Couple
Resort Hotel,1,2017,January,1,0,0,PRT,A,A,Transient,39,0,0,Canceled,03-01-2017,Desired,Single
Resort Hotel,1,2017,January,2,0,0,GBR,A,A,Transient,48,0,0,Canceled,13-12-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,BRA,A,A,Transient,42,0,0,Canceled,22-11-2016,Desired,Couple
Resort Hotel,1,2017,January,1,0,0,BRA,A,A,Transient,37,0,0,Canceled,22-11-2016,Desired,Single
Resort Hotel,1,2017,January,2,0,0,PRT,D,D,Transient,52,0,2,No-Show,04-01-2017,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,GBR,A,A,Transient,42,0,2,Canceled,08-11-2016,Desired,Couple
Resort Hotel,1,2017,January,3,1,0,ARG,H,H,Transient,87,0,0,Canceled,31-10-2016,Desired,Family
Resort Hotel,1,2017,January,2,0,0,PRT,A,A,Transient,51.84,0,0,Canceled,19-12-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,ESP,A,A,Transient,48,0,0,Canceled,01-01-2017,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,GBR,E,E,Transient,92,0,0,Canceled,03-11-2016,Desired,Couple
Resort Hotel,1,2017,January,1,0,0,EST,D,D,Transient,80.1,0,1,Canceled,03-07-2016,Desired,Single
Resort Hotel,1,2017,January,2,0,0,PRT,A,A,Transient,60,0,1,Canceled,26-12-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,PRT,A,A,Transient,60,0,1,Canceled,26-12-2016,Desired,Couple
Resort Hotel,1,2017,January,1,0,0,NGA,A,A,Transient,43,0,1,No-Show,06-01-2017,Desired,Single
Resort Hotel,1,2017,January,2,0,0,GBR,D,D,Transient,53.5,0,0,Canceled,05-12-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,GBR,A,A,Transient,38.86,0,0,Canceled,28-12-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,ESP,D,D,Transient,78,0,0,Canceled,23-12-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,PRT,D,D,Transient,62,0,0,Canceled,26-12-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,BRA,D,D,Transient,56.4,0,2,Canceled,22-10-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,IRL,A,A,Transient,48,0,1,Canceled,20-12-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,ESP,A,A,Transient,44,0,0,Canceled,20-12-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,IRL,A,A,Transient,42,0,1,Canceled,14-11-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,IRL,A,C,Transient,37.8,0,2,Canceled,30-12-2016,Undesired,Couple
Resort Hotel,1,2017,January,2,0,0,BRA,A,A,Transient,42,0,0,Canceled,05-10-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,BRA,A,A,Transient,42,0,0,Canceled,05-10-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,GBR,E,E,Transient,55.8,0,2,Canceled,18-12-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,ESP,A,A,Transient,67.8,0,0,Canceled,19-11-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,GBR,A,A,Transient,42,0,2,Canceled,11-11-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,ESP,E,E,Transient,55.8,0,2,Canceled,21-10-2016,Desired,Couple
Resort Hotel,1,2017,January,1,0,0,IRL,A,A,Transient,37.8,0,0,Canceled,02-08-2016,Desired,Single
Resort Hotel,1,2017,January,2,0,0,IRL,A,A,Transient,37.8,0,0,Canceled,02-08-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,IRL,A,A,Transient,37.8,0,0,Canceled,08-08-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,IRL,A,A,Transient,37.8,0,0,Canceled,08-08-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,PRT,G,G,Transient,0,0,0,Canceled,10-01-2017,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,PRT,A,A,Transient,25.5,0,0,Canceled,31-10-2016,Desired,Couple
Resort Hotel,1,2017,January,1,0,0,PRT,A,A,Transient,41,0,0,Canceled,10-01-2017,Desired,Single
Resort Hotel,1,2017,January,2,0,0,ESP,A,D,Transient,48,0,1,Canceled,11-01-2017,Undesired,Couple
Resort Hotel,1,2017,January,1,0,0,PRT,A,D,Transient,39,0,0,Canceled,10-01-2017,Undesired,Single
Resort Hotel,1,2017,January,2,0,0,PRT,A,D,Transient,0,0,0,Canceled,11-01-2017,Undesired,Couple
Resort Hotel,1,2017,January,2,0,0,CHE,A,A,Transient,78,0,0,Canceled,07-01-2017,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,FRA,E,E,Transient,62,0,1,Canceled,10-01-2017,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,CN,A,A,Transient,42,0,1,Canceled,16-12-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,CN,A,A,Transient,42,0,0,Canceled,20-11-2016,Desired,Couple
Resort Hotel,1,2017,January,1,0,0,GBR,A,A,Transient,37,0,2,Canceled,10-01-2017,Desired,Single
Resort Hotel,1,2017,January,2,0,0,GBR,A,A,Transient,47.8,0,0,Canceled,08-09-2016,Desired,Couple
Resort Hotel,1,2017,January,1,0,0,PRT,A,A,Transient,33.31,0,1,No-Show,12-01-2017,Desired,Single
Resort Hotel,1,2017,January,2,0,0,PRT,A,A,Transient,37.8,0,1,Canceled,10-01-2017,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,ESP,F,F,Transient,54.27,0,1,Canceled,11-01-2017,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,PRT,A,A,Transient,44,0,0,Canceled,04-01-2017,Desired,Couple
Resort Hotel,1,2017,January,1,0,0,GBR,A,A,Transient,37,0,0,Canceled,23-10-2016,Desired,Single
Resort Hotel,1,2017,January,2,0,0,PRT,A,A,Transient,78,0,1,Canceled,04-01-2017,Desired,Couple
Resort Hotel,1,2017,January,2,1,0,PRT,D,D,Transient,75.5,0,2,Canceled,07-01-2017,Desired,Family
Resort Hotel,1,2017,January,2,0,0,ESP,E,E,Transient,68,0,2,Canceled,01-01-2017,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,PRT,F,F,Transient,69.35,0,1,Canceled,10-01-2017,Desired,Couple
Resort Hotel,1,2017,January,2,2,0,GBR,G,G,Transient,82,0,0,Canceled,12-12-2016,Desired,Family
Resort Hotel,1,2017,January,2,0,0,GBR,E,E,Transient,55.8,0,2,Canceled,30-09-2016,Desired,Couple
Resort Hotel,1,2017,January,1,0,0,PRT,A,A,Transient,46.43,0,0,Canceled,19-10-2016,Desired,Single
Resort Hotel,1,2017,January,2,0,0,GBR,D,D,Transient,51.3,0,2,Canceled,28-09-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,PRT,A,A,Transient,33.6,0,0,Canceled,19-10-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,GBR,E,E,Transient,55.8,0,2,Canceled,27-11-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,IRL,A,A,Transient,42,0,0,Canceled,30-11-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,PRT,A,A,Transient,37.8,0,1,Canceled,05-12-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,PRT,A,A,Transient,29.11,0,1,Canceled,19-10-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,NLD,A,A,Transient,37.8,0,0,Canceled,20-05-2016,Desired,Couple
Resort Hotel,1,2017,January,3,1,0,IRL,H,H,Transient,93,0,1,Canceled,27-12-2016,Desired,Family
Resort Hotel,1,2017,January,1,0,0,PRT,A,F,Transient,35,0,0,Canceled,16-01-2017,Undesired,Single
Resort Hotel,1,2017,January,2,0,0,BRA,A,A,Transient,48,0,0,Canceled,14-04-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,BRA,A,A,Transient,48,0,0,Canceled,14-04-2016,Desired,Couple
Resort Hotel,1,2017,January,1,0,0,PRT,A,A,Transient-Party,55,0,0,Canceled,14-01-2017,Desired,Single
Resort Hotel,1,2017,January,1,0,0,PRT,A,A,Transient-Party,55,0,0,Canceled,13-01-2017,Desired,Single
Resort Hotel,1,2017,January,1,0,0,PRT,A,A,Transient-Party,55,0,0,Canceled,05-01-2017,Desired,Single
Resort Hotel,1,2017,January,1,0,0,PRT,A,A,Transient-Party,55,0,0,Canceled,05-01-2017,Desired,Single
Resort Hotel,1,2017,January,1,0,0,PRT,A,A,Transient-Party,55,0,0,Canceled,13-01-2017,Desired,Single
Resort Hotel,1,2017,January,1,0,0,PRT,A,C,Transient-Party,55,0,0,Canceled,14-01-2017,Undesired,Single
Resort Hotel,1,2017,January,1,0,0,PRT,A,A,Transient-Party,55,0,0,Canceled,04-01-2017,Desired,Single
Resort Hotel,1,2017,January,1,0,0,PRT,A,A,Transient-Party,55,0,0,Canceled,03-01-2017,Desired,Single
Resort Hotel,1,2017,January,1,0,0,PRT,A,A,Transient-Party,55,0,0,Canceled,04-01-2017,Desired,Single
Resort Hotel,1,2017,January,1,0,0,PRT,A,D,Transient-Party,55,0,0,Canceled,11-01-2017,Undesired,Single
Resort Hotel,1,2017,January,1,0,0,PRT,A,A,Transient-Party,55,0,0,Canceled,03-01-2017,Desired,Single
Resort Hotel,1,2017,January,1,0,0,PRT,A,E,Transient-Party,55,0,0,Canceled,16-01-2017,Undesired,Single
Resort Hotel,1,2017,January,1,0,0,PRT,A,A,Transient-Party,55,0,0,Canceled,10-01-2017,Desired,Single
Resort Hotel,1,2017,January,1,0,0,PRT,A,A,Transient-Party,55,0,0,Canceled,06-01-2017,Desired,Single
Resort Hotel,1,2017,January,1,0,0,PRT,A,A,Transient-Party,55,0,0,Canceled,05-01-2017,Desired,Single
Resort Hotel,1,2017,January,1,0,0,PRT,A,C,Transient,35,0,0,Canceled,17-01-2017,Undesired,Single
Resort Hotel,1,2017,January,2,0,0,PRT,A,A,Transient,8,0,0,Canceled,17-01-2017,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,PRT,D,D,Transient,42.43,0,1,Canceled,05-01-2017,Desired,Couple
Resort Hotel,1,2017,January,1,0,0,PRT,A,H,Transient-Party,55,0,0,Canceled,17-01-2017,Undesired,Single
Resort Hotel,1,2017,January,1,0,0,PRT,A,D,Transient-Party,55,0,0,No-Show,17-01-2017,Undesired,Single
Resort Hotel,1,2017,January,2,0,0,POL,H,H,Transient-Party,87,0,0,Canceled,06-09-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,PRT,A,A,Transient,8,0,0,Canceled,17-01-2017,Desired,Couple
Resort Hotel,1,2017,January,1,0,0,PRT,A,D,Transient-Party,30,0,2,Canceled,17-01-2017,Undesired,Single
Resort Hotel,1,2017,January,1,0,0,PRT,A,D,Transient-Party,30,0,2,Canceled,17-01-2017,Undesired,Single
Resort Hotel,1,2017,January,2,0,0,PRT,A,A,Transient,57.6,0,0,Canceled,24-12-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,PRT,A,A,Transient,57.6,0,0,Canceled,24-12-2016,Desired,Couple
Resort Hotel,1,2017,January,2,2,0,POL,G,G,Transient,82,0,0,Canceled,22-12-2016,Desired,Family
Resort Hotel,1,2017,January,2,2,0,POL,G,G,Transient,82,0,0,Canceled,18-09-2016,Desired,Family
Resort Hotel,1,2017,January,2,0,0,PRT,E,E,Transient,60,0,0,Canceled,20-01-2017,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,ESP,A,A,Transient,42,0,2,Canceled,19-09-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,ESP,A,A,Transient,42,0,2,Canceled,09-12-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,ESP,A,A,Transient,54,0,2,Canceled,23-11-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,PRT,A,A,Transient,48,0,0,Canceled,11-01-2017,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,ESP,A,A,Transient,37.8,0,2,Canceled,08-12-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,GBR,D,D,Transient,62,0,0,Canceled,22-12-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,BEL,A,A,Transient,42,0,1,Canceled,08-11-2016,Desired,Couple
Resort Hotel,1,2017,January,2,1,0,PRT,A,A,Transient,65.5,0,2,Canceled,16-01-2017,Desired,Family
Resort Hotel,1,2017,January,2,0,0,DEU,D,D,Transient,52,0,1,Canceled,11-12-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,DEU,D,D,Transient,58,0,0,Canceled,07-01-2017,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,GBR,A,A,Transient,37.8,0,1,Canceled,26-09-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,FRA,A,A,Transient,42,0,0,Canceled,09-12-2016,Desired,Couple
Resort Hotel,1,2017,January,2,2,0,TUR,G,G,Transient,86,0,0,Canceled,13-12-2016,Desired,Family
Resort Hotel,1,2017,January,1,0,0,PRT,A,A,Transient,43,0,0,Canceled,16-01-2017,Desired,Single
Resort Hotel,1,2017,January,1,0,0,PRT,A,D,Transient,35,0,0,Canceled,20-01-2017,Undesired,Single
Resort Hotel,1,2017,January,1,0,0,PRT,A,D,Transient,35,0,0,Canceled,20-01-2017,Undesired,Single
Resort Hotel,1,2017,January,1,0,0,PRT,A,D,Transient,35,0,0,Canceled,20-01-2017,Undesired,Single
Resort Hotel,1,2017,January,1,0,0,PRT,A,D,Transient,35,0,0,Canceled,20-01-2017,Undesired,Single
Resort Hotel,1,2017,January,2,0,0,AUS,E,E,Transient,55.8,0,2,Canceled,20-08-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,PRT,D,D,Transient,88,0,0,Canceled,12-01-2017,Desired,Couple
Resort Hotel,1,2017,January,1,0,0,PRT,A,A,Transient,35,0,0,Canceled,20-01-2017,Desired,Single
Resort Hotel,1,2017,January,3,1,0,LUX,H,H,Transient,87,0,0,Canceled,01-12-2016,Desired,Family
Resort Hotel,1,2017,January,2,0,0,PRT,D,D,Transient,58,0,0,Canceled,05-01-2017,Desired,Couple
Resort Hotel,1,2017,January,1,0,0,DZA,A,A,Transient,37,0,0,Canceled,09-11-2016,Desired,Single
Resort Hotel,1,2017,January,1,0,0,FRA,D,D,Transient,72,0,1,Canceled,30-11-2016,Desired,Single
Resort Hotel,1,2017,January,2,0,0,BRA,A,A,Transient,72,0,2,Canceled,15-12-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,CN,A,A,Transient,37.8,0,0,Canceled,24-05-2016,Desired,Couple
Resort Hotel,1,2017,January,2,2,0,GBR,H,H,Transient,93,0,1,Canceled,31-12-2016,Desired,Family
Resort Hotel,1,2017,January,2,0,0,ESP,A,D,Transient,48,0,1,Canceled,23-01-2017,Undesired,Couple
Resort Hotel,1,2017,January,2,0,0,ESP,D,D,Transient,78,0,0,Canceled,12-01-2017,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,GBR,A,A,Transient,48,0,1,Canceled,31-12-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,PRT,A,A,Transient,48,0,1,Canceled,11-01-2017,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,GBR,A,A,Transient,48,0,1,Canceled,31-12-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,CN,E,E,Transient,55.8,0,1,Canceled,25-10-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,GBR,A,A,Transient-Party,48,0,0,Canceled,05-01-2017,Desired,Couple
Resort Hotel,1,2017,January,1,0,0,PRT,A,A,Transient-Party,35,0,0,Canceled,27-01-2017,Desired,Single
Resort Hotel,1,2017,January,2,0,0,GBR,A,A,Transient-Party,48,0,0,Canceled,05-01-2017,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,GBR,A,A,Transient-Party,48,0,0,Canceled,05-01-2017,Desired,Couple
Resort Hotel,1,2017,January,1,0,0,CN,A,A,Transient,37.83,0,1,Canceled,18-11-2016,Desired,Single
Resort Hotel,1,2017,January,2,0,0,PRT,A,A,Transient,42,0,1,Canceled,17-01-2017,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,ESP,A,A,Transient,78,0,0,Canceled,12-01-2017,Desired,Couple
Resort Hotel,1,2017,January,1,0,0,PRT,A,A,Transient-Party,32,0,0,Canceled,28-01-2017,Desired,Single
Resort Hotel,1,2017,January,2,0,0,BRA,A,A,Transient,42,0,1,Canceled,27-10-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,PRT,E,E,Transient,76,0,1,Canceled,28-01-2017,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,PRT,A,A,Transient-Party,36,0,0,Canceled,11-01-2017,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,PRT,A,A,Transient,48,0,0,Canceled,19-01-2017,Desired,Couple
Resort Hotel,1,2017,January,2,1,0,PRT,D,E,Transient,70,0,0,No-Show,28-01-2017,Undesired,Family
Resort Hotel,1,2017,January,2,0,0,BRA,A,A,Transient,42,0,1,Canceled,27-10-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,PRT,A,A,Transient,48,0,1,Canceled,30-12-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,PRT,G,G,Transient,0,0,1,Canceled,28-01-2017,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,PRT,D,D,Transient,55,0,1,Canceled,28-01-2017,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,PRT,F,F,Transient,0,0,0,Canceled,27-01-2017,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,BRA,A,A,Transient,37.8,0,0,Canceled,29-07-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,ESP,A,D,Transient,48,0,1,No-Show,28-01-2017,Undesired,Couple
Resort Hotel,1,2017,January,2,0,0,ESP,A,A,Transient,52,0,0,Canceled,25-01-2017,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,GBR,E,E,Transient,50.22,0,1,Canceled,06-01-2017,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,DEU,E,E,Transient,61.8,0,0,Canceled,05-12-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,PRT,E,E,Transient,55.8,0,3,Canceled,23-10-2016,Desired,Couple
Resort Hotel,1,2017,January,1,0,0,DEU,D,D,Transient,58,0,1,Canceled,24-01-2017,Desired,Single
Resort Hotel,1,2017,January,2,0,0,FRA,A,A,Transient,72,0,1,Canceled,11-11-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,FRA,A,A,Transient,72,0,0,Canceled,08-11-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,CN,A,B,Transient,37.8,0,0,Canceled,27-09-2016,Undesired,Couple
Resort Hotel,1,2017,January,2,2,0,DEU,G,G,Transient,82,0,1,Canceled,05-12-2016,Desired,Family
Resort Hotel,1,2017,January,1,0,0,PRT,D,D,Transient,55.1,0,1,Canceled,29-01-2017,Desired,Single
Resort Hotel,1,2017,January,1,0,0,PRT,G,G,Transient,83.6,0,1,Canceled,29-01-2017,Desired,Single
Resort Hotel,1,2017,January,2,0,0,DEU,A,A,Transient,48,0,1,Canceled,18-01-2017,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,PRT,E,E,Transient,45.36,0,0,Canceled,18-12-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,FRA,A,A,Transient,78,0,0,Canceled,17-01-2017,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,FRA,D,D,Transient,78,0,1,Canceled,25-12-2016,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,FRA,A,A,Transient,78,0,1,Canceled,15-01-2017,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,FRA,A,A,Transient,48,0,1,Canceled,13-01-2017,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,GBR,E,E,Transient,55.8,0,3,Canceled,03-01-2017,Desired,Couple
Resort Hotel,1,2017,January,2,0,0,PRT,A,A,Transient,56.24,0,0,Canceled,15-11-2016,Desired,Couple
Resort Hotel,1,2017,January,2,2,0,GBR,G,G,Transient,88,0,0,Canceled,11-01-2017,Desired,Family
Resort Hotel,1,2017,January,2,0,0,GBR,A,A,Transient,37.8,0,1,Canceled,05-01-2017,Desired,Couple
Resort Hotel,1,2017,February,2,0,0,DEU,A,A,Transient,42,0,1,Canceled,21-11-2016,Desired,Couple
Resort Hotel,1,2017,February,2,0,0,ESP,A,A,Transient,48,0,0,Canceled,21-01-2017,Desired,Couple
Resort Hotel,1,2017,February,2,0,0,IRL,D,D,Transient,59,0,0,Canceled,01-02-2017,Desired,Couple
Resort Hotel,1,2017,February,2,0,0,CN,A,A,Transient,37.8,0,0,Canceled,24-12-2016,Desired,Couple
Resort Hotel,1,2017,February,2,0,0,FRA,A,A,Transient,72,0,1,Canceled,13-11-2016,Desired,Couple
Resort Hotel,1,2017,February,2,0,0,PRT,A,D,Transient,55,0,0,No-Show,02-02-2017,Undesired,Couple
Resort Hotel,1,2017,February,2,0,0,PRT,A,A,Transient,48,0,0,Canceled,31-01-2017,Desired,Couple
Resort Hotel,1,2017,February,2,0,0,GBR,A,A,Transient,37.8,0,2,Canceled,13-11-2016,Desired,Couple
Resort Hotel,1,2017,February,2,0,0,GBR,A,A,Transient,37.8,0,3,Canceled,13-11-2016,Desired,Couple
Resort Hotel,1,2017,February,1,0,0,GBR,A,A,Transient-Party,37,0,1,Canceled,14-01-2017,Desired,Single
Resort Hotel,1,2017,February,1,0,0,GBR,A,A,Transient,37,0,1,Canceled,22-12-2016,Desired,Single
Resort Hotel,1,2017,February,1,0,0,PRT,A,A,Transient,43,0,0,Canceled,02-02-2017,Desired,Single
Resort Hotel,1,2017,February,1,0,0,PRT,A,A,Transient,34.4,0,0,No-Show,03-02-2017,Desired,Single
Resort Hotel,1,2017,February,2,0,0,FRA,D,D,Transient,78,0,0,Canceled,17-01-2017,Desired,Couple
Resort Hotel,1,2017,February,2,0,0,BRA,A,A,Transient,43,0,0,Canceled,03-01-2017,Desired,Couple
Resort Hotel,1,2017,February,2,0,0,PRT,D,D,Transient,67.33,0,3,Canceled,25-01-2017,Desired,Couple
Resort Hotel,1,2017,February,2,0,0,DEU,D,D,Transient,51.3,0,0,Canceled,22-08-2016,Desired,Couple
Resort Hotel,1,2017,February,2,0,0,PRT,A,A,Transient,48,0,0,Canceled,07-01-2017,Desired,Couple
Resort Hotel,1,2017,February,1,0,0,BRA,D,D,Transient,58,0,0,Canceled,03-01-2017,Desired,Single
Resort Hotel,1,2017,February,2,0,0,PRT,A,A,Transient,48,0,2,Canceled,04-02-2017,Desired,Couple
Resort Hotel,1,2017,February,2,0,0,PRT,E,E,Transient,68,0,1,Canceled,04-02-2017,Desired,Couple
Resort Hotel,1,2017,February,2,0,0,PRT,A,A,Transient,48,0,0,Canceled,04-02-2017,Desired,Couple
Resort Hotel,1,2017,February,1,0,0,PRT,A,A,Transient,43,0,0,Canceled,04-02-2017,Desired,Single
Resort Hotel,1,2017,February,2,0,0,PRT,A,A,Transient,48,0,2,Canceled,04-02-2017,Desired,Couple
Resort Hotel,1,2017,February,1,0,0,PRT,A,A,Transient,43,0,0,Canceled,04-02-2017,Desired,Single
Resort Hotel,1,2017,February,2,0,0,PRT,A,A,Transient,74.1,0,2,Canceled,19-01-2017,Desired,Couple
Resort Hotel,1,2017,February,1,0,0,FRA,A,A,Transient,42,0,0,Canceled,06-01-2017,Desired,Single
Resort Hotel,1,2017,February,2,0,0,FRA,A,A,Transient,37,0,0,Canceled,06-01-2017,Desired,Couple
Resort Hotel,1,2017,February,2,0,0,IRL,A,A,Transient,42,0,0,Canceled,27-10-2016,Desired,Couple
